gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
Lerp,53.79504138,8.871824803,2.384827837,3.720111223,0.000199135,0.002173138,
CG4281,41.46345373,8.496119912,2.285707479,3.717063531,0.000201552,0.002191557,
CG17328,65.89290256,7.257778069,1.952382346,3.717395869,0.000201287,0.002191557,
kz,37.17987547,8.338534173,2.243780176,3.71628837,0.000202171,0.00219432,
CG3386,41.20266788,8.4865824,2.286460244,3.711668472,0.000205898,0.002230742,
Gld,141.8522132,10.27029251,2.770383661,3.707173361,0.000209585,0.002266614,
Mat1,1243.556163,-2.880819966,0.778383562,-3.70102878,0.000214727,0.002318051,
CG43236,147.5391503,-4.960451046,1.342618923,-3.694608323,0.000220226,0.002373152,
Past1,964.1389527,2.282573872,0.619081167,3.687034906,0.000226882,0.002440506,
EDTP,62.95863254,8.13181099,2.205826497,3.686514329,0.000227347,0.002441135,
Naam,44.27947201,8.590185093,2.332925143,3.682152048,0.000231273,0.002473649,
Hsc20,39.25486726,8.417066122,2.286277849,3.681558706,0.000231812,0.002473649,
asRNA:CR45712,103.8419291,-7.439381475,2.020840575,-3.681330219,0.00023202,0.002473649,
Edem2,129.2770227,9.172301397,2.491048624,3.682104519,0.000231317,0.002473649,
Vps51,42.40658411,8.528088109,2.317084568,3.680525185,0.000232754,0.00247708,
l(1)G0045,37.6068862,8.355354495,2.270746076,3.679563552,0.000233633,0.002482046,
subdued,56.97482634,8.953828848,2.436469954,3.674918638,0.000237925,0.002523182,
Fbp2,11981.53116,-4.85496967,1.324814777,-3.664640337,0.000247686,0.002622075,
CG18048,44.31757028,8.591921529,2.347278482,3.660375876,0.000251846,0.002661419,
CG13667,144.9517558,9.337560821,2.555449738,3.653979448,0.000258207,0.002723857,
Obp99b,35726.41806,-5.006646324,1.375288076,-3.64043462,0.000272178,0.002866213,
trr,40.02192623,8.445157799,2.321247437,3.638198008,0.000274552,0.002886159,
CR43670,53.8680388,8.873962709,2.440661935,3.635883603,0.000277029,0.002907117,
grass,461.9082568,-3.190074283,0.878320162,-3.632017598,0.000281214,0.002945887,
CG6845,86.75311588,8.595501538,2.369249365,3.627942953,0.000285688,0.002987555,
CG7369,36.90782132,8.328231282,2.296032663,3.627226832,0.000286482,0.002990649,
Karybeta3,1192.575564,2.072572466,0.572327907,3.621302471,0.000293124,0.003049398,
CG8323,39.60603703,8.430067812,2.327690484,3.621644661,0.000292736,0.003049398,
aay,110.8155738,-7.62627311,2.106701555,-3.6200064,0.000294596,0.00305942,
scb,36.15637064,7.327672742,2.025784679,3.617202172,0.000297805,0.003087413,
CG14130,66.65062343,6.811596722,1.885147033,3.613297321,0.000302328,0.00312891,
CG6178,70.67284293,8.298350929,2.300298471,3.607510519,0.000309149,0.003194009,
CG9515,35.89384776,8.288120284,2.301021826,3.60193032,0.000315863,0.003257778,
