gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
XRCC1,77.8886794,2.331744139,2.485541659,0.938123137,0.348181133,0.694629446,
RpLP0-like,1267.92294,0.481977748,0.513963053,0.937767306,0.348364006,0.69476377,
fzr,2592.1825,0.860526342,0.918221222,0.937166688,0.348672822,0.695149098,
CG14641,1014.134579,0.795786522,0.850575124,0.935586404,0.349486177,0.695847809,
aPKC,563.849139,2.032631276,2.171808831,0.935916296,0.349316286,0.695847809,
CG2145,298.890963,2.302634434,2.460613534,0.935796866,0.349377785,0.695847809,
CG18661,180.0160303,-1.561390306,1.667766964,-0.936216114,0.349161928,0.695847809,
CG42709,120.1806224,1.982862084,2.120949487,0.934893592,0.34984314,0.696097551,
Tep4,148.1862695,1.994271967,2.133129445,0.934904336,0.349837602,0.696097551,
olf186-F,348.2398769,-2.426623586,2.597767164,-0.93411897,0.350242528,0.6966617,
tws,722.7906207,0.626510213,0.672025353,0.932271692,0.351196134,0.69694467,
lute,188.9759545,1.723890405,1.847741579,0.932971594,0.350834635,0.69694467,
NHP2,4603.486593,-0.34023386,0.36463983,-0.933068283,0.350784714,0.69694467,
lncRNA:CR44127,14.8098998,-3.50141141,3.754300349,-0.932640195,0.351005773,0.69694467,
e(y)3,249.7220103,-1.503679168,1.612834291,-0.932320931,0.351170694,0.69694467,
CG34125,1442.408198,-0.504158416,0.54057789,-0.932628629,0.351011747,0.69694467,
Wdfy2,849.247969,1.360164597,1.458906157,0.932318087,0.351172163,0.69694467,
blow,540.0115062,1.479342986,1.587485777,0.931877947,0.351399606,0.697118387,
lncRNA:Hsromega,9938.471742,-0.563860674,0.605553064,-0.931149899,0.35177603,0.697404968,
CR30029,43.93589889,-2.798782663,3.005666975,-0.931168585,0.351766366,0.697404968,
poly,607.4967325,0.443111337,0.477068357,0.928821478,0.352981612,0.699333915,
CalpB,26.5709183,3.408433898,3.669463791,0.928864295,0.352959419,0.699333915,
alph,1283.881159,-1.517966305,1.637615268,-0.926937074,0.353959207,0.70103976,
Hex-A,174.6135549,1.860266951,2.009129166,0.925907095,0.354494264,0.701868293,
lncRNA:CR44092,2.936679874,3.620433884,3.91723458,0.924232085,0.355365494,0.70243679,
eEF1alpha1,35231.69971,0.276653973,0.299218146,0.924589557,0.355179447,0.70243679,
mthl3,1611.175366,-0.557268219,0.60294141,-0.92424937,0.355356497,0.70243679,
Nap1,146.0033056,-0.702374743,0.759529372,-0.924749942,0.355095994,0.70243679,
CG15643,256.1867895,-1.899580006,2.054101522,-0.924774158,0.355083395,0.70243679,
twin,380.9435752,1.544683739,1.673355804,0.923105376,0.355952293,0.703365474,
Nup98-96,76.85698326,2.31257242,2.506099506,0.922777573,0.35612313,0.703383841,
lncRNA:CR43995,120.5919916,1.621457216,1.757413047,0.922638659,0.356195543,0.703383841,
CG1646,241.7730604,1.607563117,1.74498363,0.921248251,0.356920832,0.704584689,
Pex3,402.7839758,1.379014123,1.497464984,0.920899078,0.35710312,0.70471318,
udt,3832.505743,0.393370649,0.427314433,0.920564856,0.357277658,0.704826298,
l(1)G0320,1078.213892,0.808492343,0.879189597,0.919588159,0.357788017,0.705601622,
CG12096,1294.102435,-0.911703153,0.992003295,-0.919052545,0.358068089,0.705922432,
unc-45,278.6930174,2.030929511,2.211034455,0.918542679,0.358334826,0.706216751,
CG8485,150.8971824,1.396012263,1.520352148,0.918216391,0.358505589,0.706321791,
Spx,377.8387826,2.240187523,2.443224458,0.916897961,0.359196113,0.707379356,
Pvf2,717.1586564,-1.190657661,1.298938257,-0.916639151,0.359331762,0.707379356,
Ephrin,1018.45922,-1.579172838,1.723013547,-0.916517947,0.359395299,0.707379356,
Dci,742.498449,-0.856806232,0.936087864,-0.915305353,0.36003135,0.707950702,
ProRS-m,219.5421329,2.241695984,2.449161582,0.915291176,0.36003879,0.707950702,
wnd,58.8940647,2.409734922,2.632337701,0.915435326,0.35996314,0.707950702,
CG2918,802.368685,1.572854957,1.720627785,0.914116912,0.360655417,0.708931357,
cv,490.1484279,-0.407736559,0.446244555,-0.91370652,0.360871077,0.70912346,
mt:ND6,543.154985,-1.061004734,1.161681374,-0.91333541,0.361066164,0.709275023,
fidipidine,370.9946025,1.96351493,2.155037011,0.911128171,0.362227845,0.711092403,
CG12081,423.0955017,1.835661861,2.014448467,0.911247863,0.36216479,0.711092403,
CG10623,285.2262495,-1.749913177,1.921502842,-0.91070028,0.362453316,0.711302804,
Doa,529.4619419,1.246580494,1.369956951,0.909941362,0.362853435,0.711377999,
Usp10,459.5848712,-1.438972125,1.58208169,-0.909543505,0.363063304,0.711377999,
nmo,118.9085119,1.70979835,1.880570458,0.909191327,0.363249142,0.711377999,
viaf,844.3385939,1.031294992,1.135025787,0.908609305,0.363556393,0.711377999,
lncRNA:CR32218,267.30087,-1.727439691,1.899051985,-0.909632651,0.363016273,0.711377999,
lncRNA:CR43918,5.813096896,3.504329048,3.852696293,0.909578327,0.363044933,0.711377999,
CG3356,16.72578222,3.424497843,3.767699018,0.908909609,0.363397841,0.711377999,
fzy,172.1047704,1.602786728,1.763535033,0.908848817,0.363429934,0.711377999,
mt:ND5,9969.84674,-0.851832459,0.937302606,-0.908812642,0.363449032,0.711377999,
CG8516,68.80962451,1.927216765,2.12273909,0.907891495,0.363935552,0.711577008,
Vha13,2078.376746,-0.354385365,0.390264377,-0.908064854,0.363843958,0.711577008,
CG8607,131.5698966,-2.389211202,2.634628611,-0.906849334,0.364486477,0.711577008,
EbpIII,73.69758173,-1.82488062,2.011222824,-0.907348802,0.364222375,0.711577008,
schlank,536.0802755,1.041523878,1.1484568,0.906889905,0.36446502,0.711577008,
pdgy,117.9825437,1.829098539,2.016791298,0.906934962,0.364441191,0.711577008,
CG31678,2.828165188,3.555287826,3.917717172,0.90748966,0.364147915,0.711577008,
Taf8,291.2542527,1.53087997,1.68916317,0.906294903,0.364779783,0.711918479,
CG11590,183.741207,1.916559377,2.116307052,0.905614984,0.365139675,0.711927648,
CG9171,52.09773341,2.047765209,2.261176963,0.905619172,0.365137458,0.711927648,
Ge-1,698.2008992,-0.89323743,0.985953776,-0.905962786,0.36495555,0.711927648,
RpS4,7712.292071,-0.442053667,0.488484279,-0.904949629,0.365492073,0.71238374,
Jra,650.8168938,-1.097887722,1.215217593,-0.903449496,0.366287381,0.713702535,
MED7,406.0274148,-0.505168947,0.559725935,-0.902529106,0.366775867,0.714422835,
lncRNA:CR46110,8.12975029,2.84051181,3.148254087,0.90224986,0.366924154,0.714480226,
26-29-p,3521.391784,0.867078506,0.962041104,0.901290498,0.367433885,0.715241162,
CG2246,1164.746075,-0.877480652,0.973830456,-0.901061008,0.367555883,0.715247095,
mRpL17,1352.364191,-0.716584944,0.795678443,-0.900596152,0.367803081,0.715359912,
Mkp3,219.0056933,1.370117062,1.522255296,0.900057346,0.368089733,0.715359912,
betaCOP,656.0684786,1.817338254,2.018858725,0.900180994,0.368023939,0.715359912,
CG31698,61.35581527,2.280770723,2.53340432,0.900279006,0.367971791,0.715359912,
Pdrg1,146.8641794,-1.092452333,1.214174667,-0.89974891,0.368253889,0.7154477,
CG14803,77.33383572,2.529401698,2.812501609,0.899342311,0.368470357,0.715637033,
CG7133,302.0214611,2.204958275,2.453765428,0.8986019,0.368864746,0.715709494,
CG3823,990.6969656,-0.606842495,0.675188546,-0.898774866,0.36877259,0.715709494,
spir,6.543379326,1.766596021,1.965305548,0.898891281,0.368710573,0.715709494,
Syt4,464.0168696,1.791402246,1.995103316,0.897899488,0.369239138,0.715743048,
CG1902,817.2774877,1.375335867,1.531671585,0.897931306,0.369222173,0.715743048,
CG11436,279.6528823,1.263550039,1.406806987,0.898168726,0.369095604,0.715743048,
Rac1,1780.495514,0.62488199,0.696259553,0.89748426,0.369460569,0.715941476,
zda,1379.806078,0.592984305,0.660954546,0.897163517,0.36963167,0.716018475,
CG14818,369.3713078,-0.695967035,0.776107727,-0.896740247,0.369857539,0.716018475,
Vav,11.99323722,2.008979069,2.239909514,0.896901887,0.369771273,0.716018475,
par-1,633.0263553,-1.103272721,1.230646298,-0.89649863,0.369986511,0.716037623,
CG13639,225.5854266,1.14802841,1.281918131,0.89555517,0.370490388,0.716551528,
RpS19a,2298.200348,-0.457721781,0.51098805,-0.895758288,0.370381872,0.716551528,
ab,154.4909617,0.895451974,1.000957095,0.894595761,0.371003219,0.717082081,
zuc,100.2403872,-2.038295974,2.278085883,-0.894740619,0.37092576,0.717082081,
CG42342,207.3794922,1.900873278,2.127578524,0.893444475,0.371619194,0.718041843,
CG18549,930.4933837,0.961709646,1.079525139,0.890863595,0.373002353,0.72008594,
Sec3,316.1465293,1.915503525,2.149744588,0.891037724,0.372908932,0.72008594,
Oatp74D,861.1015903,-0.511461431,0.574303417,-0.89057703,0.373156127,0.72008594,
fs(1)h,563.8384717,0.51785568,0.581339077,0.890797987,0.373037555,0.72008594,
Atg101,194.2161948,-1.666777861,1.872625978,-0.890075157,0.373425532,0.72037463,
CG32344,483.1060115,2.192224077,2.464244822,0.889612938,0.373673757,0.720391247,
fy,292.785819,1.247627769,1.402096261,0.889830323,0.373557002,0.720391247,
RpS11,8951.747881,-0.375795767,0.423205173,-0.887975363,0.374554004,0.721625513,
tko,2546.141599,-0.38169851,0.429813214,-0.888056715,0.374510245,0.721625513,
mRpL19,1543.022732,-0.712391412,0.802711486,-0.887481274,0.374819844,0.721906381,
CG32095,84.54291771,2.07436368,2.338017819,0.887231767,0.374954133,0.721933782,
eIF3b,1455.313263,1.486816264,1.676279269,0.886974081,0.375092855,0.721969698,
sdk,159.0190216,-1.15580542,1.304016068,-0.886342928,0.375432763,0.722392706,
CG1890,2643.838148,-0.330266263,0.372912191,-0.88564083,0.375811102,0.722889366,
SREBP,148.7137888,2.209077322,2.495799011,0.885118278,0.376092843,0.723199956,
GstD9,144.5722534,2.171985879,2.454543207,0.884883946,0.376219227,0.723211705,
CG9018,284.7192629,-0.998189253,1.128900297,-0.884213828,0.376580795,0.723484434,
Aps,5385.761607,-0.483998559,0.547486446,-0.884037519,0.37667596,0.723484434,
CG11808,245.6902251,-1.640088529,1.855404271,-0.883952115,0.376722063,0.723484434,
CG5412,435.9479167,-1.523850223,1.725895004,-0.88293333,0.377272294,0.724186616,
mub,522.4392994,-1.64051529,1.858597881,-0.882662843,0.377418464,0.724186616,
CG3652,526.8087747,0.611582126,0.692927412,0.882606338,0.377449003,0.724186616,
emc,1348.039618,1.262685656,1.432307601,0.88157436,0.378007026,0.724332774,
IleRS,855.6466448,1.700740406,1.928820205,0.881751654,0.377911121,0.724332774,
asRNA:CR43723,21.6915649,2.339942675,2.653220092,0.881925582,0.377817052,0.724332774,
Uch,931.24174,0.837198843,0.949577529,0.881654017,0.377963935,0.724332774,
Hmgcl,211.051587,1.321108106,1.500069611,0.880697866,0.378481372,0.725010669,
dco,149.4728618,1.576678268,1.792716374,0.879491196,0.379135004,0.725037484,
Ect4,285.4210979,-1.200790365,1.36464494,-0.879928786,0.37889789,0.725037484,
CG43103,70.52173828,2.205845387,2.508812711,0.879238764,0.379271831,0.725037484,
Act57B,331.9377292,-1.637807149,1.860415514,-0.880344813,0.378672543,0.725037484,
Raf,147.061711,2.986116661,3.395457082,0.879444678,0.379160216,0.725037484,
mRpL22,1760.261342,-0.904417487,1.027684029,-0.880054045,0.378830032,0.725037484,
18SrRNA-Psi:CR41602,25.3675292,-0.883155568,1.004597216,-0.87911409,0.379339419,0.725037484,
gro,339.5262582,0.643831067,0.73275534,0.878643979,0.379594342,0.725115419,
Ten-m,344.724802,-1.468280818,1.672872748,-0.877700243,0.380106412,0.725115419,
Stlk,1159.280827,-1.367642127,1.5570463,-0.878356749,0.379750148,0.725115419,
CG9003,528.6044556,-2.463996236,2.807471485,-0.877656728,0.380130034,0.725115419,
Rpb12,955.5220126,-0.616642248,0.7027398,-0.877483028,0.380224333,0.725115419,
CkIalpha,3320.156411,-0.627470139,0.714914161,-0.877685985,0.380114152,0.725115419,
kek5,217.3378642,1.35616156,1.544918783,0.877820617,0.380041074,0.725115419,
PIG-L,158.385209,1.867850801,2.131795714,0.876186583,0.380928609,0.725998012,
CG2224,174.9347672,1.891252752,2.158424662,0.876219025,0.380910976,0.725998012,
Sec15,91.96814427,1.632571135,1.864072453,0.875808841,0.381133963,0.726159226,
Vps24,62.75754635,-0.894232007,1.021875254,-0.875089209,0.381525368,0.726166442,
shn,207.7934486,-1.750131708,1.999705391,-0.875194774,0.381467936,0.726166442,
Gs1,118.9852309,-1.89743506,2.167753261,-0.875300291,0.381410536,0.726166442,
CaMKII,1655.096861,-0.597561783,0.682995044,-0.874913791,0.381620815,0.726166442,
CG10417,1605.445896,0.882622886,1.009481778,0.874332657,0.38193712,0.726538406,
Vha16-1,5552.14905,0.321318401,0.367720322,0.87381192,0.382220688,0.72684788,
Syx1A,707.5918207,-0.509537546,0.583381318,-0.873421088,0.382433601,0.72702284,
CG31176,14.89963457,2.097777758,2.402477593,0.873172663,0.382568973,0.727050327,
mgr,1607.609239,-0.501086326,0.574082621,-0.872847057,0.382746447,0.727157783,
CCT6,4587.383031,0.858280211,0.984287633,0.871981098,0.383218689,0.727825009,
wat,1104.262675,0.630027036,0.723964408,0.87024587,0.384166053,0.728717636,
yps,2954.305779,-0.485192596,0.557269272,-0.870660953,0.383939304,0.728717636,
ND-AGGG,1232.065257,-0.624024971,0.716843895,-0.870517243,0.3840178,0.728717636,
CG33474,47.44953393,-1.117866914,1.284561437,-0.870232347,0.384173442,0.728717636,
cnc,317.1651046,-0.959645112,1.104033503,-0.869217383,0.384728241,0.729539866,
CG3184,163.5349925,-2.298904927,2.647239454,-0.868415935,0.385166674,0.730140988,
Jupiter,653.949128,0.990125023,1.141574047,0.867333158,0.385759494,0.730388096,
pasi1,2448.916478,-0.396439487,0.457296645,-0.866919736,0.385985989,0.730388096,
p38a,1120.070729,-0.392771286,0.453069167,-0.866912415,0.385990001,0.730388096,
Slbp,268.3186651,-1.713510206,1.97722137,-0.866625372,0.386147307,0.730388096,
rho,792.3874488,-1.078768039,1.244489658,-0.86683568,0.386032049,0.730388096,
CSN1b,410.3541236,1.470740838,1.696925158,0.866709313,0.386101302,0.730388096,
CG30122,392.3343449,-1.644255302,1.895385614,-0.86750437,0.385665719,0.730388096,
gfzf,176.5602325,-1.678073348,1.940408559,-0.864804137,0.3871463,0.730527772,
CG9839,433.5253015,2.133683179,2.467617677,0.864673324,0.387218115,0.730527772,
modSP,121.4668253,2.170898992,2.510321764,0.864789137,0.387154534,0.730527772,
Agpat3,1029.800876,1.320218704,1.527143511,0.864502055,0.387312152,0.730527772,
CG10565,1059.826505,1.27505161,1.473911918,0.865079924,0.386994923,0.730527772,
Dg,353.8092025,1.397588848,1.617890397,0.86383407,0.387679049,0.730527772,
Gp150,1955.883067,0.736462496,0.851426489,0.864974846,0.387052595,0.730527772,
CG2712,14.17262721,3.263314297,3.770729985,0.865433035,0.386801156,0.730527772,
Spase25,2051.381129,-0.385669294,0.44642542,-0.863905318,0.387639905,0.730527772,
gce,23.43978986,2.379893719,2.754960595,0.863857626,0.387666107,0.730527772,
CG15390,15.83791781,-2.611652115,3.023062856,-0.8639093,0.387637718,0.730527772,
MED20,248.4891363,-1.749856999,2.022160396,-0.865340357,0.386852006,0.730527772,
Sbp2,408.6243921,-1.706330002,1.976001311,-0.863526756,0.387847915,0.730617015,
ttm50,638.3423645,1.510954018,1.751682868,0.862572813,0.388372384,0.73096136,
CG6766,335.622111,1.014619121,1.176327764,0.862530965,0.388395401,0.73096136,
SteXh:CG42398,8.062987178,2.521842668,2.922930256,0.86277894,0.38825902,0.73096136,
RpL35,3708.124328,-0.243463613,0.282443596,-0.861990205,0.388692908,0.731292383,
Grip91,72.57410071,2.552892666,2.962400426,0.861764886,0.388816911,0.731296868,
CG5397,2924.156904,0.824708902,0.957365745,0.861435566,0.388998195,0.731409051,
foi,249.2122835,1.603206378,1.861835228,0.861089292,0.389188867,0.73153881,
Mkk4,389.7190583,1.607714883,1.868416927,0.86046902,0.389530554,0.731914812,
CG7518,118.4982636,-2.123860495,2.46878911,-0.860284294,0.389632349,0.731914812,
Ublcp1,280.7441179,1.466767676,1.705537836,0.860003012,0.389787382,0.731977367,
CG4849,1268.421581,0.892633659,1.038912181,0.859200301,0.390230017,0.732579798,
muc,765.349708,-0.594837173,0.692610791,-0.858833244,0.390432524,0.7327312,
Patronin,32.32695881,2.278826586,2.663065418,0.855715586,0.392155117,0.735734389,
l(3)73Ah,532.6981143,-1.457997321,1.705224087,-0.855018019,0.392541172,0.735999398,
Top3alpha,15.74791332,3.219489625,3.765123349,0.855082112,0.392505692,0.735999398,
CG3702,1078.385027,1.592297674,1.864067767,0.854205895,0.392990918,0.736612964,
Pngl,458.0731898,1.392949723,1.631337502,0.853869737,0.393177169,0.736720229,
GstT3,458.7347365,-1.36956618,1.604345472,-0.853660389,0.393293188,0.736720229,
Hr39,109.1314391,1.659358004,1.944724791,0.853261095,0.39351453,0.736905285,
noi,1095.742101,-0.91109788,1.068455444,-0.852724262,0.393812233,0.737233174,
mats,195.1913221,1.454126804,1.706648126,0.852036681,0.394193734,0.737717685,
CG11539,120.7757113,-1.666343789,1.957783912,-0.851137747,0.394692839,0.738192237,
BtbVII,31.78352253,2.576628745,3.026925052,0.851236387,0.394638054,0.738192237,
CG13369,674.3455354,-1.600415767,1.880937829,-0.850860535,0.39484683,0.738250618,
GalT1,836.3541856,-1.483818617,1.74587279,-0.849900763,0.395380261,0.739018188,
CG5021,394.7192364,1.428211647,1.681740717,0.849246042,0.395744399,0.739468946,
ec,52.42961403,1.57179343,1.851690767,0.848842289,0.395969055,0.739658878,
gol,9.715050906,-3.19211398,3.762983136,-0.848293459,0.39627456,0.739769924,
bip2,1807.835854,-0.599488825,0.706622768,-0.848385946,0.396223067,0.739769924,
sty,419.485234,-1.159466231,1.368300961,-0.847376611,0.396785237,0.740263614,
CG31775,35.64150892,-1.639287819,1.934521037,-0.847386918,0.396779494,0.740263614,
CG6983,84.27237454,1.767707729,2.087551111,0.846785365,0.397114767,0.740418944,
sta,4098.074195,-0.456883811,0.539463779,-0.846922126,0.397038529,0.740418944,
CkIIbeta,3789.709579,-0.225602068,0.266493945,-0.846556075,0.397242606,0.74042771,
RnpS1,478.6496677,1.442947279,1.707840532,0.844895792,0.398169024,0.741004319,
CG7600,128.5671997,1.938873514,2.296173406,0.844393332,0.398449647,0.741004319,
l(2)41Ab,240.8458257,-0.479931822,0.568531638,-0.844160271,0.398579852,0.741004319,
Gprk1,2027.353836,-0.493273681,0.58342012,-0.845486236,0.397839414,0.741004319,
CG8728,514.4658644,1.204845624,1.427309827,0.844137413,0.398592623,0.741004319,
dgt5,84.81932097,1.803278937,2.135695834,0.844351948,0.398472766,0.741004319,
CG43658,240.3497863,0.78156622,0.926009947,0.844014929,0.398661063,0.741004319,
asRNA:CR44065,7.386742319,-3.187943979,3.774702889,-0.844554942,0.398359375,0.741004319,
Gs1l,242.2425004,-1.537631464,1.819537798,-0.845067064,0.398073396,0.741004319,
CG5880,176.0665249,2.076021087,2.463252703,0.842796634,0.399342191,0.741353687,
krz,551.3079417,1.839482632,2.182405227,0.842869422,0.399301477,0.741353687,
CG4294,983.5810935,-1.495510466,1.774435953,-0.84280893,0.399335313,0.741353687,
CG10343,183.4561173,1.681152028,1.99443134,0.84292299,0.399271515,0.741353687,
Npl4,1471.161705,1.07811205,1.28065442,0.841844633,0.399874925,0.741634061,
mRpL21,1147.535423,-0.439445001,0.521887764,-0.842029707,0.399771325,0.741634061,
Sf3b2,503.3308902,-0.630720299,0.749389752,-0.841645215,0.399986572,0.741634061,
Traf4,350.0055657,-1.569334296,1.863220853,-0.842269607,0.399637059,0.741634061,
CG5946,740.868642,-0.648762125,0.771481655,-0.840930073,0.40038711,0.741690602,
Prp19,847.1736904,1.345407055,1.599645907,0.841065544,0.400311217,0.741690602,
if,58.3794138,1.631268881,1.938836734,0.841364748,0.400143628,0.741690602,
mrn,249.9566274,1.813527053,2.157751691,0.84047069,0.400644529,0.741710453,
Ipk2,990.8245686,-0.606667064,0.721731091,-0.840572162,0.400587659,0.741710453,
CG7675,5648.217172,-0.265146304,0.315591778,-0.840155931,0.400820963,0.741808696,
eRF1,2422.80709,0.587181284,0.69914284,0.839858825,0.400987546,0.741888651,
Hayan,6.137123766,3.212177568,3.82658941,0.839436172,0.401224593,0.74199985,
Cen,469.8464061,-1.685634273,2.008353241,-0.83931165,0.401294447,0.74199985,
His-Psi:CR33867,189.3278583,-0.855010113,1.019030804,-0.83904246,0.401445483,0.742050935,
Iswi,526.6271611,-1.572499236,1.874790837,-0.838759826,0.401604099,0.742115994,
bip1,119.9362574,1.624776596,1.938477895,0.83817133,0.401934486,0.742280918,
UbcE2M,1328.173262,-0.538100996,0.642001886,-0.838161082,0.401940241,0.742280918,
CG43273,128.9561333,-1.569184029,1.872865864,-0.837851797,0.402113944,0.742373701,
TFAM,371.9858794,0.569354866,0.680103964,0.837158577,0.402503438,0.742864694,
MED1,264.0485946,1.741797195,2.081835319,0.836664254,0.402781317,0.743149451,
Elp1,107.4945738,-1.968285584,2.354916351,-0.835819745,0.403256317,0.743501846,
Arf79F,8543.384154,0.238402095,0.28528421,0.835665232,0.40334326,0.743501846,
noc,130.8364102,2.114763732,2.530098108,0.835842581,0.403243468,0.743501846,
Indy,282.5735417,2.075288075,2.484152686,0.835410837,0.40348643,0.74353782,
Eig71Ee,190.2156694,-2.423176087,2.901610746,-0.835114114,0.403653461,0.743617726,
CG9135,1000.717488,1.618201956,1.938548716,0.834749183,0.403858943,0.7437684,
Bet5,133.3322562,2.067301302,2.478520433,0.83408685,0.404232044,0.744227582,
DNAlig3,256.6976311,-2.18839366,2.624787214,-0.83374136,0.404426746,0.744358134,
mRpL42,377.6509527,-0.594072756,0.713186886,-0.832983287,0.404854155,0.744916779,
Caf1-105,310.5569531,2.053531159,2.466119036,0.832697501,0.405015354,0.744985416,
CG10494,157.0254808,-2.322034389,2.78937467,-0.832456971,0.405151056,0.745007125,
Idh,1947.974225,1.173719713,1.410440513,0.832165343,0.405315623,0.745081884,
kay,1380.103465,1.189349604,1.430385795,0.831488685,0.405697618,0.745495349,
CG8993,531.6716825,-0.825494078,0.99403229,-0.830449963,0.406284427,0.745495349,
CG2162,331.4802336,1.554660562,1.870198364,0.831281105,0.405814846,0.745495349,
Gtp-bp,3193.947353,0.783214195,0.942730621,0.830793206,0.406090461,0.745495349,
Rrp47,372.7090828,-0.676602798,0.814695806,-0.830497461,0.406257583,0.745495349,
CG14220,872.5170103,-0.790214946,0.951097798,-0.830845101,0.40606114,0.745495349,
Alg2,195.6518454,1.431177091,1.725314822,0.829516488,0.406812211,0.745497066,
Git,293.786105,2.040503129,2.460202195,0.829404645,0.406875474,0.745497066,
Tep3,22.03696617,1.584330418,1.910323315,0.829351977,0.406905267,0.745497066,
lncRNA:CR46268,44.40320929,1.863915385,2.246963677,0.829526264,0.406806681,0.745497066,
lt,692.4325823,-0.87796382,1.058573807,-0.829383661,0.406887344,0.745497066,
PPP4R2r,329.6042053,2.055205336,2.478930423,0.829069391,0.407065143,0.74556281,
mRpS6,257.9117843,-0.670289565,0.808943402,-0.828598841,0.407331444,0.745690924,
dia,356.5787829,-2.024512644,2.443565698,-0.828507556,0.407383118,0.745690924,
Tsp66E,101.9559484,1.773500873,2.14331397,0.827457339,0.407977893,0.746325242,
CG12576,724.8746668,-0.787701234,0.951793836,-0.827596486,0.407899059,0.746325242,
Vps4,671.1274725,0.919852961,1.112167179,0.827081556,0.408190837,0.746487684,
sick,338.0732512,1.167452516,1.412174799,0.826705389,0.408404066,0.746650547,
Adk3,69.44732739,1.509999341,1.828115736,0.825986731,0.408811619,0.746722653,
Arfip,416.045816,1.188616344,1.439039597,0.825978901,0.408816061,0.746722653,
CG8878,144.9620296,1.423484068,1.723102314,0.826116973,0.40873774,0.746722653,
Mul1,342.8957703,-1.534295502,1.85863396,-0.825496324,0.409089869,0.746769089,
CHMP2B,478.2813639,-1.389597227,1.682945572,-0.825693505,0.408977978,0.746769089,
mor,77.62409395,-2.232905578,2.707102949,-0.824832162,0.409466885,0.747230463,
CG15908,207.5024954,-0.682550889,0.827961924,-0.824374732,0.409726668,0.747477686,
tum,749.7797932,1.830404699,2.221548785,0.823931805,0.409978308,0.747709907,
ITP,135.6998441,-0.989741894,1.202066609,-0.823366931,0.410299363,0.748068547,
Sin,531.029663,1.793630536,2.179754596,0.822858931,0.41058822,0.748141505,
CG15168,539.1294126,-0.343376049,0.417218235,-0.823013044,0.410500576,0.748141505,
CG42674,199.3360911,-0.923212087,1.123061372,-0.822049542,0.411048701,0.748753662,
frm,104.6399488,-0.909011948,1.109812364,-0.819068139,0.412747538,0.751620517,
CG6984,255.4092093,-1.491581436,1.821868871,-0.818709545,0.412952149,0.751765448,
nmdyn-D7,254.6492615,-2.122444193,2.594364187,-0.818098016,0.413301222,0.752173198,
SF2,2254.738121,-0.332732485,0.407037241,-0.817449735,0.413671463,0.752619216,
CG13390,542.0321568,-0.620492337,0.759291899,-0.817198679,0.413814897,0.752652443,
CG5961,837.1476938,-0.507849844,0.621782831,-0.816764019,0.414063298,0.752721096,
trem,69.96959396,2.090650296,2.56130145,0.81624531,0.414359847,0.752721096,
AnxB9,2354.218722,0.922077179,1.129802407,0.816140215,0.414419946,0.752721096,
pcs,292.0332588,0.687253073,0.841824852,0.816384871,0.414280047,0.752721096,
wek,142.2728422,2.01892217,2.474054922,0.816037733,0.414478555,0.752721096,
Pis,245.9864523,1.218547784,1.494407926,0.81540506,0.414840489,0.753150924,
CycC,150.2350736,1.605878601,1.970234631,0.815069726,0.415032399,0.753165576,
ND-B14,1605.677887,-0.468378479,0.574948945,-0.8146436,0.415276346,0.753165576,
nej,591.0542691,-0.713066072,0.875368257,-0.814589821,0.415307139,0.753165576,
Arpc5,2136.714354,-0.323767595,0.397497061,-0.814515695,0.415349584,0.753165576,
GlyRS,1212.85675,1.527189811,1.876015098,0.814060512,0.415610286,0.753184042,
Opa1,527.8035629,0.829654564,1.019033603,0.814158199,0.415554328,0.753184042,
CG32069,922.4107614,-0.70881145,0.871746641,-0.813093412,0.416164504,0.753961181,
hdc,316.056933,0.647875224,0.797240275,0.812647384,0.416420256,0.75397019,
ksh,177.0461158,0.655194265,0.806171405,0.812723275,0.416376734,0.75397019,
glo,1906.623412,-0.419580109,0.516966345,-0.811619776,0.41700984,0.754618621,
snoRNA:Psi18S-531,1734.73661,-0.321029931,0.395558866,-0.81158573,0.417029382,0.754618621,
Lis-1,891.6849072,1.215059091,1.49945318,0.810334799,0.41774778,0.755467437,
Arp6,465.9531976,1.199747645,1.480564223,0.810331376,0.417749747,0.755467437,
CG10470,1143.334764,-0.308987683,0.38149141,-0.809946634,0.417970848,0.755640021,
CG6767,1641.853148,-0.502791754,0.621079318,-0.809545157,0.418201639,0.755642466,
RpS24,2262.853424,-0.298140194,0.368397902,-0.809288525,0.418349205,0.755642466,
thoc5,505.6720188,1.790560749,2.212247059,0.809385526,0.418293425,0.755642466,
CG9067,110.9100366,2.008898273,2.483181029,0.809001941,0.41851403,0.755713171,
loj,1399.520037,0.332664936,0.411380523,0.808655046,0.418713593,0.755846543,
Irp-1B,211.9923684,1.737088416,2.159204646,0.804503834,0.421106056,0.757436648,
Pkc98E,160.3176425,1.374495036,1.704895983,0.806204631,0.420124869,0.757436648,
ncd,261.899115,1.399959154,1.738521995,0.805258235,0.420670677,0.757436648,
CG15525,257.278031,-1.490311035,1.848628046,-0.806171386,0.420144035,0.757436648,
SCaMC,617.405751,-0.546425728,0.678079235,-0.805843475,0.420333107,0.757436648,
Atox1,1379.587345,0.718452201,0.89262245,0.804878032,0.420890067,0.757436648,
