,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
CG1671,587.5540794,0.710330695,1.904796068,0.372916926,0.709210274,0.925424312,
PCB,1004.505611,0.613904939,0.994385468,0.61737119,0.53698992,0.844490413,
CG30010,299.8726836,-2.329098662,0.965872115,-2.411394455,0.015891651,0.09057187,
CG46338,310.7245201,-0.337536138,1.372450698,-0.245936803,0.805731154,0.955743427,
Ntmt,833.1299244,-0.321436914,0.668820934,-0.480602352,0.630799143,0.891092854,
CG1513,376.422198,-0.408697077,1.536752973,-0.265948454,0.790278908,0.951081765,
Etf-QO,219.769703,11.09809089,1.723489161,6.439315741,1.20E-10,1.16E-08,
Mef2,71.81601833,-2.517607942,1.831862321,-1.374343428,0.16933509,0.475562188,
Pdrg1,140.0592087,-0.731199852,1.313153054,-0.556827591,0.577645231,0.861666083,
Pal1,428.4032202,3.279608353,1.815578576,1.806370925,0.07086042,0.268201898,
CG1418,385.4214666,-0.315309738,1.624528858,-0.194093036,0.846103034,0.967839519,
eIF3j,2086.542839,0.442677905,1.381138958,0.320516558,0.74857678,0.937195807,
CG12134,717.6421722,0.745854188,1.071399205,0.696149656,0.486335112,0.814545365,
TER94,1077.008808,2.853482239,1.7045931,1.673996123,0.094131361,0.32225052,
Pka-R2,235.8265844,-0.332532096,1.404382021,-0.236781795,0.812826075,0.957528178,
CG12128,362.4827662,1.327457678,2.089154274,0.635404333,0.525164743,0.839292648,
CG1407,125.5361132,0.16108643,3.052772554,0.052767256,0.957917351,0.99094755,
CG12129,737.5675233,-1.129927745,0.706664306,-1.598959698,0.109829558,0.358654523,
oys,175.5991926,1.512024795,2.359276242,0.640885017,0.521597391,0.836866272,
COX7C,1988.801117,-1.114823395,0.539784478,-2.065312065,0.038893483,0.177221621,
sel,940.9822174,-0.363789423,0.905529428,-0.401742243,0.687873733,0.914747335,
magu,773.6143587,-0.435060077,1.48224103,-0.293515068,0.769128484,0.94639674,
mRpL42,367.7635213,-0.229506056,0.794742926,-0.288780244,0.772749552,0.94708546,
Cdc2rk,185.1345589,0.823116393,2.035112784,0.404457384,0.68587641,0.914713278,
CG1371,454.4423329,3.82867395,1.953042166,1.960364203,0.049953237,0.211993895,
Jra,572.6015133,-1.092498428,1.228454289,-0.889327701,0.373826988,0.729010651,
RpLP0-like,1146.555535,0.565534664,0.568878457,0.994122132,0.320163412,0.674409427,
14-3-3zeta,11744.65679,-0.163262446,0.436447079,-0.374071575,0.708351066,0.925394631,
Pfk,171.1729316,0.12160052,1.943977298,0.062552438,0.950122904,0.990211804,
dmpd,77.23280163,4.28685477,2.425249514,1.767593291,0.07712892,0.284955245,
Ccs,258.1129389,-0.90605469,1.847064343,-0.490537698,NA,NA,
mlt,82.16889118,1.569993628,2.695840043,0.582376403,0.560313172,0.853932315,
CG34221,35.46299264,8.466649982,2.959242139,2.861087259,0.004221908,0.031572999,
Syb,2072.722004,-0.454042365,0.555735186,-0.817012088,0.41392152,0.759300288,
RNaseZ,277.7788834,4.268733251,1.928361826,2.213657827,0.026852326,0.136656254,
CG12909,382.2568297,0.259715735,1.494392888,0.173793477,0.862027771,0.970601995,
CG33474,28.87720748,-5.685257267,2.106265924,-2.69921153,0.006950398,0.046797756,
Prx2540-1,23.55714857,2.246058034,3.116387175,0.720724964,0.47107875,0.803448558,
RanBPM,203.165509,1.019238204,1.465329659,0.695569218,0.486698649,0.814814771,
CG12895,172.8573265,0.952365174,2.629955238,0.362122199,0.717260715,0.927625629,
Galphao,263.9727151,-0.281732095,1.599849281,-0.176099148,0.860216051,0.970318317,
Caf1-105,206.7869456,1.540915812,2.562545729,0.601322269,0.54762536,0.847692076,
CG11777,150.9011544,1.068622036,2.624778069,0.40712853,0.68391359,0.914477726,
whd,300.5575963,9.601694349,1.578396112,6.083196909,1.18E-09,7.61E-08,
trsn,396.3074257,1.193789295,1.536244193,0.777083032,0.437109784,0.778730552,
CG17765,860.4307364,-0.526774418,0.504446038,-1.044263169,0.296363648,0.646232556,
lola,1144.506679,-0.234229984,0.789145095,-0.296814852,0.766607866,0.945246234,
psq,1328.7462,-0.291778724,0.754086516,-0.386930037,0.698808003,0.920891764,
Git,245.5900066,1.953795867,2.555951054,0.764410517,0.444622643,0.782344196,
Elp2,322.3632516,0.624401632,2.019198971,0.309232344,0.757144792,0.94110744,
CG12338,79.97953378,9.639838859,2.783189098,3.463594647,0.000533009,0.00547732,
CG7220,364.3286978,0.072192103,0.742780874,0.097191655,0.922574195,0.983552725,
Mat1,1084.876777,-2.928229204,0.756527216,-3.870619775,0.000108559,0.001405528,
CG33144,128.6029394,2.435961068,1.852986237,1.314613686,0.188639768,0.507830043,
wde,212.0010998,0.781956615,2.272940245,0.344028673,0.730824723,0.933602614,
CG12935,390.0143006,0.563769505,1.752049246,0.321777202,0.747621486,0.93715716,
CG7637,1427.587404,-0.794342542,0.532975675,-1.490391737,0.136121264,0.412128634,
mms4,92.83007734,9.854773262,2.135535299,4.614661843,3.94E-06,8.48E-05,
CG12341,234.7319925,1.62563207,1.874870263,0.867063766,0.385907073,0.736889746,
CG7222,800.947952,1.546429248,1.312723247,1.178031434,0.238784075,0.576889763,
dgo,48.51552471,7.950691555,2.192518346,3.626282794,0.00028753,0.003262749,
Prosbeta5,9975.905872,-0.879561844,0.312798796,-2.811909297,0.004924839,0.035871379,
Lsm10,164.7239877,-0.903942814,0.746092071,-1.21157006,0.225677001,0.559480984,
RpS15Ab,1396.114499,-1.254527125,0.599794919,-2.091593452,0.036474899,0.169888633,
CG12343,795.4112788,-0.676580567,0.690257228,-0.980186137,0.326994246,0.683193489,
CG12325,270.7878778,-1.086410919,1.980478095,-0.548559927,0.583307493,0.86451877,
LTV1,460.9198301,0.462459422,1.570648961,0.294438435,0.768422901,0.946122708,
CG30016,33.94184644,8.403217576,3.10946304,2.702465818,0.006882726,0.046662819,
nclb,1501.001396,0.421774072,1.368967643,0.308096451,0.758008942,0.941156702,
Taf5,303.7972099,0.319423566,2.111137212,0.151304029,NA,NA,
CG18004,380.0392624,-2.061441858,1.313016882,-1.570004078,NA,NA,
cag,354.8215913,-0.191001143,1.873005262,-0.101975764,0.918775912,0.983552725,
CG12942,751.8010431,0.214360495,0.596270068,0.359502358,0.719219314,0.928286448,
ND-B14,1342.462922,-0.635269242,0.589799749,-1.077093103,0.281438674,0.63420486,
Rpb5,630.855251,1.360227224,1.665067691,0.816920076,0.413974104,0.759300288,
luna,463.3183698,-0.371388359,1.234011587,-0.300960188,NA,NA,
CG12391,493.5030068,-0.085299618,0.864062846,-0.09871923,0.9213612,0.983552725,
shn,202.2100715,-1.208605213,2.056988332,-0.587560558,0.556827291,0.853240568,
Syx6,42.42009413,5.946025411,2.445499835,2.431415176,0.015039969,0.087098464,
CR30029,40.06621694,-2.263570391,3.731236858,-0.606654168,0.544080444,0.846873687,
CG34227,47.82785696,-0.992836202,2.62942579,-0.377586698,0.705737648,0.923697594,
Cpr47Ec,6238.032006,-4.315387323,0.665482872,-6.48459563,8.90E-11,9.17E-09,
TpnC47D,100.2364913,0.52313165,3.679986241,0.142155871,0.886956887,0.978475006,
CG9067,104.4985344,2.136800162,2.614102865,0.817412425,0.413692777,0.759300288,
Vhl,47.54275373,0.976465524,3.098953774,0.315095221,0.752689357,0.939538372,
CG9062,316.2962806,1.89842038,1.402316507,1.353774537,0.17580832,0.486764627,
CG13220,2573.356248,-1.600364373,0.399322367,-4.007700302,6.13E-05,0.000885496,
Fbl6,160.4662256,0.446696486,2.018301662,0.221322954,0.824840978,0.96033788,
dare,703.7420382,-1.282841771,0.860097277,-1.49150777,0.135828233,0.411757789,
CG30033,6.434578561,6.003445553,3.911619552,1.534772355,0.124839756,0.390531178,
CG42336,721.1976013,-0.045389818,0.867680595,-0.052311666,0.958280358,0.990987323,
CG7741,168.4336114,1.127488933,3.442751138,0.327496496,0.743292393,0.935361311,
Fpps,1119.32685,0.239176149,0.869147012,0.275184918,0.783174173,0.950645363,
CG7745,25.5899295,0.598095481,3.446220224,0.173551149,0.862218226,0.970601995,
CG12384,4143.457429,-1.000396299,0.466227028,-2.145727807,0.031894701,0.155324817,
ix,22.27017843,6.819776624,2.792831344,2.44188631,0.014610747,0.084947548,
san,1021.080804,-0.672165728,0.640773458,-1.048991214,0.294182162,0.644774844,
Tapdelta,6129.987277,-0.427038148,0.37162162,-1.14912084,0.250506156,0.594459098,
Sod3,1086.853537,1.540390454,1.270317953,1.212602286,0.225281915,0.55873717,
sprt,414.683253,3.898812065,0.951292838,4.098435212,4.16E-05,0.000633412,
CG30022,134.6710794,8.357678584,2.996016549,2.789596936,0.00527737,0.037809635,
Prip,63.31473815,-1.283294908,3.727871381,-0.344243343,NA,NA,
E(Pc),72.90563381,1.289948624,2.325605086,0.554672258,NA,NA,
tou,41.64709088,1.817220446,2.421703432,0.750389342,0.453020248,0.791026008,
lncRNA:CR43907,38.97651831,-2.363581163,3.731685205,-0.633381712,NA,NA,
Egm,402.3071893,3.289761213,1.768312617,1.860395713,0.062829561,0.248133592,
CG9005,66.40208461,3.813494039,1.72176522,2.214874592,0.026768674,0.136348581,
CG9003,499.1116088,-1.916892726,2.648327504,-0.723812566,NA,NA,
CG34228,114.1729424,-4.118037503,1.600760358,-2.572550902,0.010095211,0.063127287,
Roc2,388.5942709,0.647388024,0.729229879,0.887769471,0.374664768,0.729010651,
Tret1-1,35.257433,-1.800736699,1.981063615,-0.908974697,0.363363482,0.718415927,
wal,1356.534391,-0.791066479,0.502471336,-1.574351455,0.11540622,0.371309293,
CG13197,220.9891713,-0.898933556,1.653283796,-0.543726103,0.586629967,0.867038206,
CG13192,158.7956443,4.696030374,1.864534244,2.518607738,0.011781983,0.071915366,
CG34229,135.8929332,-1.213510927,1.21470177,-0.999019642,0.317785176,0.671197006,
S2P,238.6948343,10.25413297,1.846007502,5.554762348,2.78E-08,1.22E-06,
Mtor,288.7647136,1.165463435,1.532391868,0.760551827,0.446924802,0.78442042,
Twdlbeta,1119.53706,0.27278846,1.766980079,0.154381175,0.877309196,0.975931767,
CG13185,209.1788268,-1.551648151,1.947384627,-0.796785663,0.425575523,0.769823061,
ERp60,7955.091082,0.286080137,0.342267054,0.835838955,0.403245508,0.751541779,
eEF1alpha1,33368.27168,0.484541546,0.268394782,1.805331472,0.071022828,0.268643617,
MCPH1,149.0954521,3.136456599,1.794087057,1.748218732,0.080426159,0.292398161,
Zip48C,362.6528905,-0.432571121,1.807142264,-0.239367497,0.810820631,0.957084763,
exp,217.4842856,0.204431688,1.399505314,0.146074249,0.883862775,0.977325765,
PI31,575.2125064,0.299043061,1.116571913,0.267822482,0.788835965,0.951081765,
ADD1,121.6778114,10.24525879,2.198997021,4.659059875,3.18E-06,6.99E-05,
GalT1,700.5657026,-1.78559114,1.707592166,-1.045677753,0.295709838,0.64616447,
RnrS,1062.700174,-0.472262815,0.878891839,-0.537338947,0.591033507,0.869175621,
CG34231,74.10574449,-0.690694678,3.090798351,-0.223468049,0.823171247,0.959922149,
rho-7,265.0167182,-0.009177799,0.783369176,-0.011715803,0.990652355,0.997642054,
CG8298,230.4698197,-4.409051046,3.351836324,-1.315413588,NA,NA,
Mppe,372.4998538,-0.889410391,1.619877634,-0.549060233,0.582964115,0.864445779,
pds5,131.5215691,3.522968024,2.224404708,1.583780151,0.113243758,0.366982781,
CG8321,84.48350245,0.693571079,2.095782988,0.330936497,0.740692454,0.934038416,
CG43191,2.768513879,2.831545023,3.884446063,0.728944353,0.466035702,0.799071122,
128up,650.218145,2.455060006,1.543320051,1.590765314,0.111662402,0.363026326,
RpIII128,134.3653355,-0.675354987,3.566109683,-0.18938144,0.84979387,0.968934342,
Drep1,151.066837,0.202749262,2.781283435,0.072897735,0.941887497,0.988890828,
CG18343,1020.844396,-0.064613398,0.590564748,-0.109409507,0.912877694,0.983552725,
Smyd4-4,447.4868187,-0.093457287,2.661262466,-0.035117651,NA,NA,
Hen1,120.5449396,8.422022348,1.742301483,4.833849038,1.34E-06,3.41E-05,
CG8878,246.4997663,2.632413917,1.65129334,1.594152809,0.110901813,0.361553444,
Prp8,278.5246172,3.077204096,2.03946074,1.50883223,0.131341662,0.402023741,
CG34232,396.5617394,0.995842922,1.793038882,0.555393936,0.578625239,0.862585572,
Oda,2898.463663,0.133949641,0.462572721,0.289575313,0.772141155,0.946843894,
SmD3,400.1914917,-1.771794681,0.733913656,-2.414173203,0.015770963,0.090352556,
CCT5,7471.586907,-0.401629679,0.481239342,-0.83457366,0.403957798,0.752603466,
EndoG,241.6317353,0.609967947,2.272571324,0.268404314,NA,NA,
asRNA:CR45264,19.63166701,7.613331597,3.557509919,2.140073189,0.032348852,0.156458841,
CG8860,319.8538539,-0.589123815,0.732887536,-0.803839314,0.421489781,0.766422845,
wash,34.61657313,8.431450346,3.235563085,2.605868013,0.009164177,0.058742673,
SmF,1724.748118,-0.567630582,0.467845365,-1.213286748,0.225020208,0.558559452,
CG8858,32.07259242,7.352008687,2.441002092,3.011881354,0.002596341,0.021108284,
RpS11,8293.783796,-0.183241151,0.365501882,-0.501341195,0.616131018,0.884832182,
CG8854,177.5240243,-0.41925946,2.140998058,-0.195824307,NA,NA,
Cam,2300.623307,-0.116646781,0.511697497,-0.227960429,0.819677004,0.959183286,
mIF3,175.6551781,-0.090918364,1.607838305,-0.056546957,0.954906089,0.990468523,
CG8841,119.2298708,10.21574796,2.891216964,3.533373,0.000410293,0.004392902,
garz,200.8111469,-1.304323982,2.618594969,-0.498100698,0.618413069,0.885944923,
CG8490,105.5212119,1.660049203,2.655863815,0.625050574,0.531937866,0.842705713,
Den1,722.9150214,-1.293072645,0.800574013,-1.615181886,0.106271312,0.351131406,
CG8839,844.0635791,0.253199397,1.068827736,0.236894486,0.812738648,0.957528178,
CG8501,251.7033636,-3.939471829,1.833054247,-2.149129976,0.031624098,0.154390738,
Cpr49Ac,452.5754547,-0.293770748,1.926388594,-0.152498177,0.878794028,0.976276726,
Cpr49Ag,506.4931625,-0.322560548,1.786903262,-0.180513716,0.856749287,0.969720911,
CG8520,750.8229821,0.028620212,1.301471723,0.021990652,0.982455412,0.99698659,
Dera,573.051144,-0.514448749,0.612507316,-0.839906294,0.400960929,0.749542229,
Nup54,93.67433675,9.867901803,2.205596639,4.474028309,7.68E-06,0.000149898,
DUBAI,231.560566,5.368760257,2.38824983,2.247989381,0.024576867,0.127617336,
Tmem18,65.30823964,0.697887426,2.449061625,0.284961154,0.775673904,0.948032452,
Dyb,112.877198,1.082528306,2.698629406,0.401140039,0.688317024,0.914747335,
Lac,1510.764566,0.306154884,0.742415341,0.412376828,0.680063244,0.913053318,
dgt5,56.98178691,1.287162277,3.19367683,0.403034604,0.686922768,0.914713278,
CG8545,958.0446742,0.21646563,1.45892868,0.148373003,0.882048405,0.97663482,
fdl,298.6747028,3.615341267,2.338717299,1.545865022,0.12213717,0.385979722,
vis,7.575408903,2.708835365,3.780266441,0.716572603,0.473637854,0.804574602,
achi,40.81792096,3.008638824,2.899100663,1.037783497,0.299370862,0.649816073,
CG13151,82.57485027,7.870030121,1.649942596,4.76988117,1.84E-06,4.44E-05,
CG8818,1989.741855,-0.781002155,0.555779529,-1.405237354,0.15995071,0.458629401,
CG8569,90.66601552,0.54511984,2.875222367,0.189592237,0.849628671,0.968934342,
fra,409.4818568,-1.394311971,2.676936582,-0.52086104,0.602463578,0.875254797,
Cyp301a1,110.6340181,5.753087545,2.270774465,2.533535424,0.011291833,0.069428235,
Ak6,122.4794758,2.184061711,1.563786389,1.396649649,0.162518952,0.462832559,
ClC-b,115.5420079,10.17050417,2.038297854,4.989704597,6.05E-07,1.68E-05,
Sin3A,611.4320446,-0.682429698,1.042617844,-0.654534835,0.512767292,0.828952381,
lncRNA:CR30055,53.81834103,2.987357306,2.516206179,1.18724663,0.235130353,0.571350861,
Amph,56.43569406,0.340362454,2.812917152,0.120999815,0.903691182,0.982806814,
Galphaq,23.89148428,3.891177371,2.906389403,1.338835521,0.180624224,0.495200182,
CG30054,3.267299659,3.11815503,3.883660853,0.802890661,0.422037934,0.766422845,
muskelin,176.2699668,7.807747572,2.144771359,3.640363594,0.000272253,0.003119503,
spt4,579.700023,0.03514062,0.846779897,0.04149912,0.966897995,0.993417259,
Iswi,455.4665288,-1.678825015,1.949913475,-0.860974108,0.389252304,0.739264957,
CG8778,1345.023732,-3.759577529,0.877703707,-4.28342446,1.84E-05,0.000312046,
ZnT49B,178.0114598,9.013734126,2.270877143,3.969274231,7.21E-05,0.000997073,
GLS,133.9199584,6.148518594,2.799529463,2.196268579,NA,NA,
Nup188,46.192149,8.847646507,2.890433427,3.061010305,0.002205915,0.018339984,
CG8768,101.8790103,0.613369796,2.113715321,0.290185622,NA,NA,
CG42663,64.88651218,9.338139955,2.491639464,3.747789393,0.0001784,0.002180114,
Taz,783.2008702,-2.627448793,1.67840994,-1.565439247,0.117479952,0.376114995,
mRpL18,500.9036793,-0.429766268,0.768083856,-0.559530401,0.575799789,0.861456564,
ox,828.5266941,-1.589962785,0.526160444,-3.0218212,0.002512589,0.020521695,
Dgkepsilon,551.6170586,2.105839126,1.892911355,1.112486922,0.26592885,0.615453331,
Nacalpha,3081.119141,0.280110128,0.458919132,0.610369253,0.541617231,0.846258927,
CG17574,400.8558717,-0.820646389,1.219126864,-0.673142733,0.50085649,0.820048445,
bic,5682.798669,-0.571104624,0.33797997,-1.689758786,0.091074112,0.315873937,
AspRS,704.7114067,-0.229122185,0.557106121,-0.411272066,0.68087305,0.913053318,
Nmda1,683.1226349,1.464749034,1.459344488,1.003703407,0.315521595,0.669785458,
NAT1,910.0011077,0.564959628,1.12804796,0.50082944,0.616491165,0.884916988,
CG13319,158.6566248,0.452761272,1.537212283,0.294533993,0.768349892,0.946122708,
CG17019,293.2625949,3.840976705,2.268446317,1.693219132,0.090413764,0.314841295,
SCCRO3,180.3192787,9.849610528,1.631508077,6.0371203,1.57E-09,9.41E-08,
Sans,134.4177898,2.485913779,2.569079371,0.967628251,0.333230063,0.687996596,
Psc,406.3002847,-2.298183902,1.202446059,-1.911257378,0.055971514,0.230392547,
Su(z)2,32.79554007,2.268619998,3.36059145,0.675065694,NA,NA,
Cap-G,152.2170532,10.5681385,3.063649674,3.449525772,NA,NA,
Ack-like,171.242473,2.948486411,2.441432895,1.207686854,0.227167737,0.561458072,
TppII,228.8464139,6.978505647,1.359125293,5.13455653,2.83E-07,8.94E-06,
ND-MWFE,39.67897692,-0.844491456,1.245540826,-0.678011863,0.497764172,0.819049647,
AGBE,152.6114494,1.889186981,2.804750151,0.673566941,0.500586676,0.820048445,
CG17724,8.014462108,-3.894610669,3.795904652,-1.026003292,0.304890032,0.657467672,
Kdm4B,49.10207159,3.191567202,3.059245134,1.043253176,0.296831051,0.646451619,
ValRS,273.2073735,1.064775866,1.808235617,0.588847967,0.555963265,0.853052546,
FLASH,26.49996356,-3.076275456,3.738750991,-0.822808329,NA,NA,
CG4627,89.79135884,1.017752219,1.225264932,0.830638495,0.406177881,0.75451509,
CG4646,1060.364871,-0.934671728,0.62726698,-1.490070029,0.136205824,0.412128634,
CG17059,299.0573875,-0.669175454,0.750660014,-0.891449447,0.372688101,0.728762693,
Fsn,380.3207864,1.014957866,0.596936273,1.700278425,0.089078567,0.311483531,
Dp,698.1454084,-0.599870628,1.822268365,-0.32918896,0.742012867,0.934952118,
Pex13,75.82512831,9.562971858,2.318148508,4.125262824,3.70E-05,0.000577372,
fsd,41.15137177,8.680960936,2.86701504,3.027874223,0.002462806,0.020218396,
Qsox1,281.0974858,7.498403211,1.229725983,6.097621187,1.08E-09,7.19E-08,
CG4679,223.5982838,9.223446006,2.068000411,4.460079387,8.19E-06,0.000159464,
CG4716,315.793205,-4.973387068,2.338985388,-2.126301043,0.033478201,0.160640708,
ATP8A,32.79992941,8.353706182,3.035597314,2.751915132,0.005924787,0.041410107,
cnn,21.26405573,-2.515563296,3.738106537,-0.672951204,NA,NA,
cbs,33.60237118,5.606072202,2.586148076,2.167730554,0.030179193,0.149572764,
arr,136.4529644,4.490015766,2.267490564,1.980169548,0.04768448,0.205641508,
cbc,346.581366,-0.869097856,1.236803579,-0.70269675,0.482244753,0.812304221,
bbc,441.0481986,2.460179778,1.866221872,1.318267573,0.187414092,0.50649197,
drk,727.5235781,0.651476508,0.653449332,0.996980906,0.318773778,0.672560038,
mars,12.96254533,-3.181134322,3.754643988,-0.84725325,NA,NA,
mip120,81.25229819,9.662457509,3.099448332,3.117476555,0.001824065,0.015744275,
mEFTu1,2777.596733,0.000108948,0.539416971,0.000201974,0.999838848,0.999838848,
CG6145,401.9576142,0.933871923,0.713881324,1.308161303,0.190818604,0.510993966,
CG33156,354.8077064,0.008173152,1.490533111,0.005483375,0.995624921,0.99875273,
Roe1,168.8844445,-0.392944039,0.792290301,-0.495959673,0.619922863,0.886600973,
link,11.71134119,2.953504746,3.585473431,0.823741914,0.410086218,0.758084445,
snoRNA:Psi28S-1153,63.75276657,1.418797336,2.856187704,0.496745131,0.619368792,0.886600973,
snoRNA:2R:9445205,47.78994623,1.417663894,2.964509303,0.47821199,0.632499329,0.891789849,
snoRNA:2R:9445410,36.66063603,1.80010716,3.09284695,0.582022709,0.560551385,0.853932315,
CG6191,5.255517284,1.259978288,3.766523132,0.334520257,0.737987007,0.933655325,
fand,446.441155,2.755888742,2.082542776,1.323328756,0.185726073,0.503622601,
fl(2)d,853.5801128,-0.186690559,1.041852908,-0.179190899,0.85778781,0.969765779,
CG13339,169.753628,-2.501330188,1.069607709,-2.338549139,0.01935878,0.105167197,
CG6357,600.1412611,0.994694257,1.486047503,0.669355626,NA,NA,
Echs1,1547.949491,1.273043383,0.656002835,1.940606526,0.052306022,0.21931381,
tum,416.7801167,0.959643278,2.198883029,0.436423068,NA,NA,
Uba3,414.5878698,1.086526824,1.866952642,0.581978782,NA,NA,
CG16935,324.4681434,-1.33172511,1.113432809,-1.196053412,0.231675716,0.568359708,
CG13344,125.0427035,-0.071105559,3.605497527,-0.019721428,0.984265597,0.99698659,
shot,455.9378574,0.98614938,0.838001487,1.176787148,0.239280473,0.577503604,
AGO1,1490.620911,0.139315159,0.6880604,0.202475189,0.839545253,0.964488649,
Rpn13,1407.885542,-1.63084726,0.569475488,-2.863770777,0.004186308,0.031386633,
Cp1,2736.095405,-0.063715418,0.420277035,-0.151603377,0.879499769,0.976276726,
CG42806,23.20936828,3.651900038,3.756175728,0.972238868,0.330931728,0.68625704,
PheRS-m,99.41603545,1.533130943,2.089653992,0.733676938,0.463145657,0.799052003,
CG6701,109.2450195,9.125027923,2.063696524,4.421690794,9.79E-06,0.000185563,
Ctf4,96.16085374,9.905656518,2.595284663,3.816789988,0.000135199,0.00171726,
RN-tre,96.63198934,-0.434178478,2.195720806,-0.197738472,0.843249687,0.966534564,
mam,29.66051199,1.748218861,2.308143699,0.757413354,0.448802258,0.786072608,
Prosap,72.7599571,3.344974093,1.681730532,1.989007174,0.046700411,0.202736349,
Rcd1,454.5520108,-0.125011509,2.803953736,-0.044584013,0.964438886,0.993076995,
pea,33.9303466,-0.382627658,3.113378932,-0.122897876,0.902187967,0.982412166,
CG13018,225.4678038,-1.27978378,0.914957403,-1.398735914,0.16189219,0.461650825,
CG13016,159.871649,1.007943122,1.762052737,0.572027784,NA,NA,
CysRS-m,84.82602521,9.724673392,2.423939429,4.011929208,6.02E-05,0.000876238,
O-fut1,1435.694038,0.326382421,0.747542143,0.436607386,0.662396105,0.904556572,
eIF3m,1857.507941,0.072874347,0.782571622,0.093121633,0.925806932,0.984245459,
ReepB,2579.415796,0.174456802,0.391459197,0.445657691,0.655844531,0.902080064,
mRpS16,117.8152969,0.35667381,1.914618602,0.186289744,0.852217549,0.969720911,
cg,1158.568723,-0.632889543,0.595514037,-1.062761754,0.287890008,0.638165295,
CG30069,377.7143922,0.155688447,2.171606709,0.071692745,0.94284643,0.989107172,
RpS23,5259.213711,-0.097573438,0.513900983,-0.189868168,0.849412437,0.968934342,
CG8468,273.7049141,-1.056211332,2.324380616,-0.454405498,0.649536996,0.899617922,
Opa1,681.7647345,1.635297808,0.976829764,1.674086794,0.094113543,0.32225052,
CG8485,209.665353,2.263753478,1.478183291,1.531443016,0.12565994,0.392470311,
Hsc70-5,569.0122336,1.200218816,0.805529933,1.489974199,0.13623102,0.412128634,
CG8531,1501.503474,0.558700474,1.46003597,0.38266213,0.701970297,0.922147814,
CG8547,900.0827835,-0.029922131,0.923503787,-0.032400659,0.974152537,0.995898903,
SelD,2410.9929,0.042335952,0.584511539,0.072429625,0.942260009,0.988962857,
conv,324.6268834,8.043456042,1.426182268,5.639851385,1.70E-08,7.82E-07,
Shrm,193.3146245,1.325136185,1.883537696,0.703535792,0.481721909,0.812304221,
CG8613,111.0806829,9.149754445,2.492914867,3.670303614,0.000242263,0.002831052,
CG8617,296.6212201,-0.850784128,1.666562254,-0.510502459,0.609699492,0.878781009,
Arc1,138.3133515,2.717778084,1.875334615,1.449223015,0.147275312,0.433709562,
Arc2,133.9022925,10.38336688,2.077740362,4.997432339,5.81E-07,1.64E-05,
Tfb1,1118.744121,0.982482747,0.472539843,2.079153245,0.037603268,0.173767301,
CG17385,1925.74263,-0.362057598,0.551690823,-0.656269024,0.511651044,0.828952381,
Sin1,36.22771908,8.497172073,3.072684984,2.765389917,0.005685479,0.040023049,
PRAS40,438.7573407,1.465643326,1.964856742,0.745928848,0.455710398,0.793473621,
Cpsf160,207.5203022,10.05231804,1.685000889,5.965764233,2.43E-09,1.35E-07,
Asx,14.6812664,5.373260213,3.109156806,1.72820496,0.083951485,0.299979834,
Cpr51A,743.1435716,-0.106044703,0.818693696,-0.129529156,0.896938956,0.982154841,
CG30197,617.2374338,0.105260731,0.523836014,0.200942143,0.840743814,0.965213309,
ttv,150.0403215,10.54736844,2.226701793,4.736767388,2.17E-06,5.01E-05,
LamC,1031.958341,1.354253675,1.511639135,0.895884238,0.370314593,0.727023774,
RpI1,294.998653,2.636024064,2.548253146,1.034443563,0.300928848,0.651712328,
Blos1,341.5903386,-0.606621847,0.903788603,-0.671198824,0.502093878,0.820719637,
tra2,266.3121041,0.94604818,2.270576982,0.416655408,0.676930475,0.91096463,
CG12868,218.9767672,-0.750801973,1.542208,-0.48683574,0.626374741,0.890406463,
Su(var)2-HP2,259.0618421,-0.893123458,2.33960454,-0.381741206,NA,NA,
Sec61beta,6334.058032,-0.790978624,0.369642586,-2.139847125,0.032367123,0.156458841,
CG12863,276.1556635,-1.13703433,1.844177523,-0.616553621,0.537529194,0.844490413,
Uhg5,393.8280929,-1.247719058,1.030348339,-1.210968185,0.225907598,0.559580641,
CG43236,125.397475,-10.93056599,2.293916145,-4.765024219,1.89E-06,4.53E-05,
CG10139,269.2500682,-0.639456569,1.508330325,-0.423949952,0.671602313,0.908347537,
Rpn6,2190.126269,0.376922299,0.89174024,0.42268172,0.672527494,0.909389604,
ave,176.3551384,-1.266097854,2.269694227,-0.557827499,NA,NA,
ND-B15,672.9979464,-1.660682652,0.5749031,-2.888630538,0.003869234,0.029422195,
Trs31,282.5784546,1.963567178,1.456680256,1.347974045,0.177666731,0.490603517,
Spred,29.52152927,8.201736839,3.744103261,2.190574423,0.028482604,0.143217061,
asRNA:CR42254,25.89617232,-8.654641286,3.734012163,-2.317786046,0.020460952,0.109734923,
BEAF-32,910.229488,0.232891383,0.507998314,0.458449125,0.646629805,0.898365326,
hui,3525.017698,0.313756552,0.500737677,0.626588663,0.530928901,0.842093924,
CG10209,606.179946,-2.553554285,0.733439509,-3.481615395,0.000498399,0.005185114,
SMC2,87.6422555,0.495600474,3.14594161,0.15753645,0.874822083,0.975005085,
Ciao1,794.3966669,-0.842568901,0.422847197,-1.99260846,0.046304338,0.202362007,
